date,bedrooms,bathrooms,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,dataset,price,view_bool,sqft_basement_bool,yr_renovated_bool,ft_living,ft_lot,ft_above
326,4,2.5,2.0,0,3,9,1999,98006,47.565,-122.125,train,13.601202855312463,0,0,0,3.946786036752451,4.205805214420586,3.946786036752451
152,4,1.75,1.0,0,5,7,1924,98115,47.6746,-122.32,train,13.253391639810731,0,1,0,3.8789531041758734,4.2665332702862635,3.532379513895901
102,4,2.25,2.0,0,3,8,1978,98032,47.3742,-122.284,train,12.676076274775909,0,0,0,3.8458284114052734,4.553599806528335,3.8458284114052734
52,2,1.75,2.0,0,3,9,2005,98014,47.6359,-121.94,train,13.383187995686226,1,1,0,3.8615600461331656,6.272987353927289,3.772166054026844
55,4,1.75,1.0,0,4,8,1979,98053,47.657,-122.026,train,13.249876697703288,0,0,0,3.8272216132350563,6.245091674113081,3.8272216132350563
201,2,1.0,1.0,0,4,5,1951,98188,47.4559,-122.289,train,12.170445467887022,0,0,0,3.2610463990850764,4.532078930899051,3.2610463990850764
98,5,3.5,2.5,0,3,8,2013,98056,47.5049,-122.17,train,12.959726793926771,0,0,0,3.9614929793555977,4.129858480510761,3.9614929793555977
66,2,1.0,1.0,0,4,7,1906,98115,47.6877,-122.325,train,13.11029079617006,0,0,0,3.581198748677859,4.222311249290701,3.581198748677859
118,2,2.5,1.0,0,3,8,2010,98053,47.717,-122.02,train,13.458549858915724,0,0,0,3.88742788333276,4.3974124640072585,3.88742788333276
280,3,1.0,1.5,0,4,7,1927,98126,47.5677,-122.376,train,13.180632285528304,0,1,0,3.6566101935451507,4.328477566895698,3.4782727215757845
376,2,1.0,1.0,0,3,6,1958,98058,47.4563,-122.184,train,12.100712129872347,0,0,0,3.3423058638339636,4.5768850102438945,3.3423058638339636
38,4,2.5,2.0,0,4,9,1972,98040,47.5578,-122.212,train,14.107433624673307,1,1,0,4.1773371309592315,4.936179008669604,4.044741237180377
131,4,2.25,2.0,0,3,8,1983,98058,47.4338,-122.146,train,13.173056491719846,0,0,1,3.998158615898373,5.452519064180553,3.998158615898373
95,3,2.0,1.0,0,4,8,1967,98045,47.4861,-121.786,train,13.017002861746503,0,0,0,3.7132745361986523,4.664061703816283,3.7132745361986523
306,4,3.25,2.0,0,3,9,2014,98108,47.5529,-122.293,train,13.190022025878145,1,1,0,3.975779665577626,4.147024820051014,3.876811773279873
174,3,2.0,1.0,0,3,7,2007,98065,47.5206,-121.868,train,12.929991484756872,0,0,0,3.7132745361986523,4.28261058021341,3.7132745361986523
