Id,price
0,371522.3395622127
1,739654.4186628284
2,1174162.8044523434
3,1418689.6177844694
4,685792.9039299544
5,282932.8658176035
6,768048.1078233384
7,713173.6818749437
8,444185.94612105726
9,519059.9715433935
10,723089.7121980164
11,412716.376166138
12,252244.62203310677
13,371418.3378122399
14,268265.7795247318
15,907726.0464329914
16,825393.048025087
17,1044317.6317643493
18,349750.3343589658
19,524421.564829618
20,380620.81415488495
21,742504.7809726106
22,795695.0175733917
23,653729.6364661035
24,583578.563074688
25,550430.6520894738
26,257247.97845599838
27,159125.42664840954
28,343693.568251903
29,620407.4024116547
30,415048.3439320748
31,490470.1540858737
32,520028.08392536023
33,264399.3207203453
34,369157.4433845721
35,1129744.151676344
36,918824.0594751751
37,403267.78732433706
38,340116.3650294796
39,1825586.982715249
40,538332.3495553858
41,272370.37315041746
42,297579.5161664862
43,385150.5079945705
44,286167.8909338322
45,231478.13070397437
46,400263.87886372604
47,468852.83425367455
48,403012.8657673678
49,784473.492825399
50,401433.0884810721
51,478203.369318079
52,368922.0734427391
53,447207.53953184764
54,593227.65816925
55,1166198.9363710172
56,331002.44147887477
57,776341.3340067831
58,333783.6125384366
59,706221.1076921907
60,487525.65096571995
61,282037.9382808123
62,215749.37765817496
63,653062.457399635
64,506221.0391476704
65,173831.45855231147
66,305023.1894947102
67,1105939.9843565086
68,553145.3209674938
69,822136.8819606147
70,352456.99683818733
71,373123.55969188473
72,896853.8758313137
73,1142563.6642536065
74,560868.5593275282
75,911475.0092079343
76,1193096.0403936245
77,198949.77380046638
78,584417.8384042876
79,1243612.9085347727
80,663417.8484843979
81,419498.63197341503
82,503222.94251324935
83,245239.61766040936
84,934454.1910380013
85,464165.03987696645
86,493904.5307788022
87,903848.4201375485
88,422018.79574198974
89,490312.2540181934
90,262415.60914012155
91,338033.79111916205
92,666534.9016816583
93,1065242.147827513
94,450760.4531173652
95,532379.9520634516
96,246075.83931323938
97,263356.16369063046
98,845166.5041506939
99,508793.8067494306
100,222952.8395180339
101,1592995.8925755443
102,608007.4268353744
103,364008.93620514264
104,1071523.3452140035
105,257434.58793765772
106,466383.83707077097
107,604552.0212540559
108,805505.0267606857
109,1715938.7916142074
110,314882.044134464
111,230829.71199530762
112,666190.8703262915
113,726863.8691755487
114,562630.9230236869
115,306836.4426510734
116,224907.5505516238
117,275217.6777933168
118,275658.3327962869
119,454535.09801695414
120,585622.4980737544
121,413740.0627113154
122,474356.06230478035
123,198314.18317122795
124,388745.49630038225
125,853071.1111825918
126,237815.3169499283
127,830651.2713452926
128,299984.4513542922
129,385333.4403670698
130,596380.1943565061
131,395611.2698346524
132,266255.20298458205
133,703799.256380204
134,297273.6337124304
135,570158.7379818037
136,393795.59562147775
137,283096.01706296613
138,1105023.2507698492
139,538875.7839684128
140,514281.93188836385
141,782510.8731006682
142,530260.9444405464
143,417636.62565419433
144,220210.40650218324
145,411655.7829876992
146,371789.3284289913
147,210728.27565832765
